"Location","Species","Observations"
"Location B","Species 2",16
"Location A","Species 3",9
"Location D","Species 2",6
"Location B","Species 2",17
"Location D","Species 3",6
"Location D","Species 2",2
"Location D","Species 1",9
"Location D","Species 3",7
"Location A","Species 2",4
"Location C","Species 3",8
"Location A","Species 3",11
"Location B","Species 1",15
"Location A","Species 1",15
"Location A","Species 3",5
"Location A","Species 2",10
"Location B","Species 2",17
"Location B","Species 3",9
"Location A","Species 2",5
"Location C","Species 3",7
"Location D","Species 3",7
"Location D","Species 2",8
"Location D","Species 1",10
"Location C","Species 2",0
"Location C","Species 1",2
"Location C","Species 3",10
"Location C","Species 2",5
"Location C","Species 1",6
"Location B","Species 2",16
"Location C","Species 2",3
"Location B","Species 1",11
"Location B","Species 2",15
"Location D","Species 3",9
"Location B","Species 1",21
"Location A","Species 1",12
"Location C","Species 2",3
"Location A","Species 2",9
"Location A","Species 1",13
"Location B","Species 3",11
"Location C","Species 1",8
"Location D","Species 1",10
"Location B","Species 3",10
"Location D","Species 2",2
"Location D","Species 1",8
"Location D","Species 3",5
"Location A","Species 2",12
"Location C","Species 3",8
"Location A","Species 3",5
"Location D","Species 2",2
"Location B","Species 2",17
"Location B","Species 3",11
"Location D","Species 2",12
"Location C","Species 3",9
"Location A","Species 3",8
"Location A","Species 2",7
"Location B","Species 2",16
"Location B","Species 3",13
"Location C","Species 1",3
"Location D","Species 1",11
"Location A","Species 3",7
"Location D","Species 2",9
"Location D","Species 1",9
"Location B","Species 3",10
"Location A","Species 2",11
"Location A","Species 1",13
"Location D","Species 3",4
"Location B","Species 1",13
"Location A","Species 1",13
"Location A","Species 3",11
"Location B","Species 1",16
"Location C","Species 3",9
"Location B","Species 3",11
"Location A","Species 2",9
"Location A","Species 1",12
"Location C","Species 2",4
"Location A","Species 2",18
"Location D","Species 1",9
"Location C","Species 2",3
"Location A","Species 2",13
"Location C","Species 3",5
"Location A","Species 3",7
"Location A","Species 2",17
"Location B","Species 2",16
"Location C","Species 2",4
"Location C","Species 1",8
"Location A","Species 1",13
"Location B","Species 3",9
"Location B","Species 1",21
"Location D","Species 1",10
"Location B","Species 3",13
"Location D","Species 2",5
"Location C","Species 3",8
"Location A","Species 3",6
"Location B","Species 1",11
"Location B","Species 2",17
"Location A","Species 3",9
"Location B","Species 1",11
"Location C","Species 3",9
"Location A","Species 3",11
"Location B","Species 1",23
"Location A","Species 1",13
"Location D","Species 3",4
"Location D","Species 2",13
"Location A","Species 1",12
"Location D","Species 3",6
"Location C","Species 1",4
"Location D","Species 1",9
"Location D","Species 3",2
"Location C","Species 1",5
"Location B","Species 2",16
"Location B","Species 3",13
"Location D","Species 2",10
"Location A","Species 1",15
"Location D","Species 3",4
"Location B","Species 1",14
"Location D","Species 1",8
"Location C","Species 2",3
"Location B","Species 1",14
"Location B","Species 2",18
"Location A","Species 3",9
"Location D","Species 2",14
"Location B","Species 2",16
"Location B","Species 3",12
"Location A","Species 2",11
"Location D","Species 1",9
"Location B","Species 3",11
"Location A","Species 2",11
"Location A","Species 1",15
"Location D","Species 3",4
"Location C","Species 1",11
"Location C","Species 3",9
"Location C","Species 2",4
"Location D","Species 2",5
"Location C","Species 3",7
"Location B","Species 3",16
"Location D","Species 2",12
"Location B","Species 2",18
"Location B","Species 3",12
"Location B","Species 1",15
"Location C","Species 3",9
"Location A","Species 3",10
"Location B","Species 1",15
"Location C","Species 3",8
"Location D","Species 3",4
"Location D","Species 2",10
"Location B","Species 2",15
"Location D","Species 3",3
"Location B","Species 1",17
"Location A","Species 1",13
"Location A","Species 3",4
"Location C","Species 1",3
"Location A","Species 1",11
"Location D","Species 3",2
"Location D","Species 2",8
"Location A","Species 1",13
"Location C","Species 2",0
"Location A","Species 2",14
"Location B","Species 2",17
"Location D","Species 3",4
"Location A","Species 2",4
"Location A","Species 1",11
"Location A","Species 3",8
"Location B","Species 1",18
"Location B","Species 2",17
"Location C","Species 2",1
"Location C","Species 1",8
"Location D","Species 1",12
"Location B","Species 3",11
"Location A","Species 2",15
"Location D","Species 1",11
"Location C","Species 2",2
"Location B","Species 1",19
"Location C","Species 3",7
"Location C","Species 2",2
"Location B","Species 1",16
"Location D","Species 1",9
"Location B","Species 3",11
"Location A","Species 2",8
"Location C","Species 3",8
"Location A","Species 3",11
"Location C","Species 1",6
"Location A","Species 1",12
"Location B","Species 3",13
"Location C","Species 1",4
"Location B","Species 2",16
"Location A","Species 3",10
"Location D","Species 2",7
"Location C","Species 3",8
"Location A","Species 3",6
"Location D","Species 2",11
"Location B","Species 2",17
"Location A","Species 3",12
"Location B","Species 1",20
"Location B","Species 2",17
"Location C","Species 2",3
"Location A","Species 2",10
"Location C","Species 3",8
"Location C","Species 2",5
"Location A","Species 2",16
"Location A","Species 1",11
"Location C","Species 2",4
"Location B","Species 1",12
"Location B","Species 2",18
"Location B","Species 3",14
"Location A","Species 2",13
"Location A","Species 1",13
"Location A","Species 3",7
"Location C","Species 1",4
"Location B","Species 2",16
"Location B","Species 3",13
"Location C","Species 1",0
"Location A","Species 1",14
"Location C","Species 2",2
"Location D","Species 2",13
"Location C","Species 3",9
"Location B","Species 3",11
"Location C","Species 1",11
"Location B","Species 2",17
"Location D","Species 3",4
"Location A","Species 2",8
"Location D","Species 1",11
"Location A","Species 3",9
"Location D","Species 2",14
"Location D","Species 1",13
"Location D","Species 3",4
"Location B","Species 1",16
"Location A","Species 1",12
"Location A","Species 3",6
"Location D","Species 2",10
"Location C","Species 3",8
"Location D","Species 3",1
"Location A","Species 2",11
"Location A","Species 1",13
"Location B","Species 3",12
"Location A","Species 2",20
"Location B","Species 2",17
"Location B","Species 3",10
"Location A","Species 2",7
"Location C","Species 3",7
"Location B","Species 3",11
"Location D","Species 2",7
"Location C","Species 3",6
"Location A","Species 3",6
"Location B","Species 1",20
"Location A","Species 1",13
"Location A","Species 3",8
"Location D","Species 2",12
"Location D","Species 1",9
"Location C","Species 2",3
"Location B","Species 1",17
"Location D","Species 1",10
"Location D","Species 3",5
"Location D","Species 2",9
"Location C","Species 3",9
"Location A","Species 3",12
"Location B","Species 1",16
"Location C","Species 3",7
"Location C","Species 2",2
"Location C","Species 1",0
"Location A","Species 1",14
"Location D","Species 3",8
"Location C","Species 1",11
"Location A","Species 1",13
"Location B","Species 3",12
"Location D","Species 2",9
"Location C","Species 3",8
"Location C","Species 2",5
"Location B","Species 1",15
"Location D","Species 1",9
"Location B","Species 3",12
"Location D","Species 2",0
"Location C","Species 3",8
"Location C","Species 2",3
"Location B","Species 1",17
"Location C","Species 3",7
"Location D","Species 3",5
"Location D","Species 2",12
"Location B","Species 2",16
"Location A","Species 3",8
"Location B","Species 1",15
"Location C","Species 3",8
"Location B","Species 3",14
"Location B","Species 1",13
"Location C","Species 3",8
"Location C","Species 2",3
"Location B","Species 1",15
"Location B","Species 2",18
"Location B","Species 3",11
"Location C","Species 1",6
"Location A","Species 1",17
"Location C","Species 2",1
"Location B","Species 1",7
"Location C","Species 3",7
"Location B","Species 3",11
"Location C","Species 1",13
"Location B","Species 2",18
"Location B","Species 3",12
"Location D","Species 2",3
"Location A","Species 1",10
"Location B","Species 3",13
"Location D","Species 2",11
"Location C","Species 3",8
"Location C","Species 2",2
"Location C","Species 1",11
"Location D","Species 1",10
"Location C","Species 2",2
"Location A","Species 2",10
"Location D","Species 1",13
"Location D","Species 3",8
"Location A","Species 2",7
"Location B","Species 2",17
"Location C","Species 2",6
"Location C","Species 1",11
"Location D","Species 1",10
"Location C","Species 2",3
"Location C","Species 1",11
"Location C","Species 3",8
"Location A","Species 3",11
"Location B","Species 1",14
"Location D","Species 1",9
"Location D","Species 3",3
"Location D","Species 2",0
"Location A","Species 1",13
"Location B","Species 3",14
"Location B","Species 1",14
"Location A","Species 1",12
"Location C","Species 2",2
"Location A","Species 2",14
"Location C","Species 3",7
"Location B","Species 3",11
"Location C","Species 1",10
"Location A","Species 1",14
"Location A","Species 3",8
"Location A","Species 2",7
"Location C","Species 3",7
"Location D","Species 3",8
"Location B","Species 1",17
"Location A","Species 1",15
"Location C","Species 2",2
"Location A","Species 2",7
"Location B","Species 2",17
"Location A","Species 3",8
"Location C","Species 1",5
"Location D","Species 1",10
"Location B","Species 3",10
"Location C","Species 1",8
"Location A","Species 1",12
"Location A","Species 3",4
"Location C","Species 1",0
"Location A","Species 1",14
"Location B","Species 3",13
"Location D","Species 2",9
"Location B","Species 2",18
"Location D","Species 3",2
"Location A","Species 2",7
"Location A","Species 1",15
"Location D","Species 3",4
"Location D","Species 2",11
"Location B","Species 2",18
"Location A","Species 3",6
"Location C","Species 1",8
"Location C","Species 3",8
"Location C","Species 2",5
"Location B","Species 1",12
"Location B","Species 2",16
"Location B","Species 3",12
"Location B","Species 1",17
"Location A","Species 1",11
"Location C","Species 2",7
"Location C","Species 1",2
"Location D","Species 1",12
"Location B","Species 3",12
"Location D","Species 2",11
"Location D","Species 1",10
"Location D","Species 3",9
"Location D","Species 2",7
"Location A","Species 1",11
"Location D","Species 3",7
"Location D","Species 2",10
"Location B","Species 2",17
"Location B","Species 3",10
"Location D","Species 2",3
"Location D","Species 1",10
"Location B","Species 3",10
"Location C","Species 1",7
"Location B","Species 2",18
"Location D","Species 3",3
"Location A","Species 2",11
"Location B","Species 2",17
"Location A","Species 3",9
"Location A","Species 2",9
"Location D","Species 1",11
"Location D","Species 3",5
"Location D","Species 2",4
"Location C","Species 3",7
"Location B","Species 3",13
"Location D","Species 2",11
"Location C","Species 3",11
"Location D","Species 3",12
"Location C","Species 1",3
"Location D","Species 1",10
"Location C","Species 2",3
"Location D","Species 2",8
"Location B","Species 2",16
"Location B","Species 3",14
"Location D","Species 2",8
"Location D","Species 1",11
"Location A","Species 3",8
"Location B","Species 1",13
"Location D","Species 1",12
"Location C","Species 2",3
"Location B","Species 1",13
"Location B","Species 2",18
"Location D","Species 3",4
"Location A","Species 2",14
"Location A","Species 1",16
"Location B","Species 3",9
"Location D","Species 2",7
"Location B","Species 2",17
"Location A","Species 3",9
"Location C","Species 1",6
"Location A","Species 1",12
"Location A","Species 3",7
"Location A","Species 2",14
"Location C","Species 3",9
"Location D","Species 3",3
"Location B","Species 1",17
"Location B","Species 2",16
"Location C","Species 2",5
"Location D","Species 2",10
"Location C","Species 3",9
"Location B","Species 3",11
"Location D","Species 2",6
"Location A","Species 1",13
"Location B","Species 3",11
"Location D","Species 2",6
"Location C","Species 3",7
"Location C","Species 2",1
"Location A","Species 2",11
"Location A","Species 1",14
"Location B","Species 3",11
"Location B","Species 1",22
"Location D","Species 1",9
"Location B","Species 3",14
"Location C","Species 1",10
"Location B","Species 2",15
"Location D","Species 3",5
"Location C","Species 1",9
"Location A","Species 1",14
"Location D","Species 3",3
"Location D","Species 2",11
"Location C","Species 3",8
"Location B","Species 3",15
"Location C","Species 1",6
"Location A","Species 1",13
"Location D","Species 3",4
"Location B","Species 1",11
"Location B","Species 2",17
"Location B","Species 3",14
"Location D","Species 2",8
"Location A","Species 1",15
"Location C","Species 2",3
"Location D","Species 2",8
"Location D","Species 1",10
"Location C","Species 2",4
"Location A","Species 2",12
"Location C","Species 3",9
"Location C","Species 2",2
"Location B","Species 1",19
"Location A","Species 1",11
"Location A","Species 3",8
"Location D","Species 2",5
"Location D","Species 1",10
"Location B","Species 3",15
"Location D","Species 2",3
"Location D","Species 1",9
"Location D","Species 3",5
"Location D","Species 2",7
"Location A","Species 1",14
"Location A","Species 3",7
"Location A","Species 2",8
"Location A","Species 1",13
"Location D","Species 3",6
"Location A","Species 2",11
"Location B","Species 2",17
"Location A","Species 3",7
"Location C","Species 1",11
"Location B","Species 2",16
"Location A","Species 3",8
"Location C","Species 1",6
"Location A","Species 1",13
"Location B","Species 3",11
"Location D","Species 2",8
"Location B","Species 2",15
"Location B","Species 3",10
"Location C","Species 1",6
"Location B","Species 2",19
"Location A","Species 3",7
"Location D","Species 2",9
"Location B","Species 2",18
"Location C","Species 2",1
"Location C","Species 1",12
"Location D","Species 1",9
"Location A","Species 3",8
"Location D","Species 2",8
"Location B","Species 2",18
"Location C","Species 2",3
"Location A","Species 2",14
"Location A","Species 1",12
"Location A","Species 3",7
"Location B","Species 1",22
"Location C","Species 3",6
"Location A","Species 3",7
"Location B","Species 1",12
"Location C","Species 3",8
"Location B","Species 3",13
"Location B","Species 1",17
"Location D","Species 1",10
"Location A","Species 3",7
"Location B","Species 1",13
"Location C","Species 3",9
"Location D","Species 3",4
"Location A","Species 2",15
"Location C","Species 3",10
"Location C","Species 2",2
"Location B","Species 1",9
"Location C","Species 3",8
"Location C","Species 2",4
"Location D","Species 2",5
"Location D","Species 1",10
"Location D","Species 3",0
"Location A","Species 2",10
"Location D","Species 1",10
"Location C","Species 2",1
"Location B","Species 1",20
"Location B","Species 2",17
"Location C","Species 2",2
"Location B","Species 1",13
"Location B","Species 2",16
"Location A","Species 3",10
"Location C","Species 1",13
"Location D","Species 1",10
"Location B","Species 3",11
"Location D","Species 2",0
"Location A","Species 1",12
"Location B","Species 3",10
"Location C","Species 1",11
"Location B","Species 2",15
"Location A","Species 3",7
"Location A","Species 2",16
"Location D","Species 1",9
"Location D","Species 3",6
"Location C","Species 1",4
"Location D","Species 1",11
"Location A","Species 3",6
"Location B","Species 1",15
"Location B","Species 2",16
"Location C","Species 2",2
"Location A","Species 2",12
"Location C","Species 3",8
"Location A","Species 3",11
"Location C","Species 1",5
"Location C","Species 3",9
"Location A","Species 3",8
"Location C","Species 1",10
"Location B","Species 2",19
"Location A","Species 3",8
"Location D","Species 2",8
"Location A","Species 1",12
"Location C","Species 2",6
"Location B","Species 1",16
"Location A","Species 1",11
"Location A","Species 3",7
"Location A","Species 2",0
"Location A","Species 1",15
"Location D","Species 3",4
"Location A","Species 2",11
"Location B","Species 2",18
"Location A","Species 3",7
"Location A","Species 2",9
"Location C","Species 3",8
"Location C","Species 2",2
"Location B","Species 1",11
"Location D","Species 1",12
"Location A","Species 3",8
"Location C","Species 1",9
"Location D","Species 1",10
"Location B","Species 3",10
"Location B","Species 1",18
"Location A","Species 1",14
"Location C","Species 2",2
"Location B","Species 1",16
"Location A","Species 1",13
"Location B","Species 3",13
"Location C","Species 1",4
"Location B","Species 2",19
"Location C","Species 2",0
"Location A","Species 2",10
"Location A","Species 1",15
"Location C","Species 2",1
"Location D","Species 2",11
"Location D","Species 1",9
"Location B","Species 3",12
"Location A","Species 2",9
"Location D","Species 1",11
"Location A","Species 3",6
"Location D","Species 2",15
"Location C","Species 3",10
"Location C","Species 2",3
"Location C","Species 1",9
"Location B","Species 2",15
"Location B","Species 3",12
"Location B","Species 1",14
"Location A","Species 1",11
"Location A","Species 3",5
"Location C","Species 1",9
"Location B","Species 2",19
"Location D","Species 3",4
"Location D","Species 2",10
"Location B","Species 2",17
"Location C","Species 2",1
"Location D","Species 2",15
"Location D","Species 1",11
"Location A","Species 3",12
"Location D","Species 2",17
"Location C","Species 3",6
"Location A","Species 3",5
"Location B","Species 1",16
"Location D","Species 1",11
"Location C","Species 2",6
"Location C","Species 1",9
"Location C","Species 3",5
"Location C","Species 2",4
"Location C","Species 1",8
"Location D","Species 1",8
"Location A","Species 3",6
"Location D","Species 2",7
"Location B","Species 2",17
"Location C","Species 2",3
"Location A","Species 2",12
"Location A","Species 1",11
"Location B","Species 3",14
"Location A","Species 2",10
"Location D","Species 1",8
"Location D","Species 3",5
"Location B","Species 1",7
"Location B","Species 2",18
"Location C","Species 2",3
"Location D","Species 2",15
"Location B","Species 2",17
"Location D","Species 3",4
"Location C","Species 1",4
"Location C","Species 3",7
"Location D","Species 3",5
"Location A","Species 2",4
"Location D","Species 1",9
"Location A","Species 3",9
"Location C","Species 1",6
"Location D","Species 1",9
"Location C","Species 2",2
"Location D","Species 2",6
"Location A","Species 1",13
"Location A","Species 3",7
"Location B","Species 1",22
"Location C","Species 3",9
"Location C","Species 2",5
"Location B","Species 1",19
"Location A","Species 1",12
"Location A","Species 3",8
"Location B","Species 1",17
"Location B","Species 2",19
"Location A","Species 3",10
